crop_name,min_ph,max_ph,min_temp,max_temp,rainfall_min,rainfall_max,soil_type_preferred,growth_duration,irrigation_needs
ধান,7.0,6.9,19,32,1202,2573,এটেল,110,উচ্চ
গম,7.0,7.0,19,27,1427,2313,যেকোনো,180,উচ্চ
ভুট্টা,6.2,8.1,20,30,1084,1511,দোআঁশ,127,উচ্চ
সয়াবিন,5.9,7.6,25,30,1125,2237,বেলে,115,উচ্চ
আলু,5.4,6.7,22,35,1459,2351,দোআঁশ,178,নিম্ন
পাট,6.4,7.1,22,31,1201,2177,যেকোনো,132,মধ্যম
মরিচ,5.2,7.4,21,33,1315,2305,বেলে,98,মধ্যম
পেঁয়াজ,6.1,8.2,16,27,868,1979,দোআঁশ,178,নিম্ন
রসুন,6.4,7.6,20,33,1139,2796,পডজল,131,উচ্চ
সূর্যমুখী,6.0,8.4,20,31,1179,2903,এটেল,96,নিম্ন
ডাল,7.3,6.8,22,25,1369,2198,দোআঁশ,162,নিম্ন
তিল,6.3,6.7,18,26,1256,2137,বেলে,93,নিম্ন
আখ,5.9,7.4,19,35,1216,1527,যেকোনো,106,নিম্ন
চা,5.6,8.3,20,31,1376,2524,এটেল,124,উচ্চ
কলা,5.0,8.1,24,26,1303,1705,দোআঁশ,143,নিম্ন
আম,6.6,8.4,18,29,1323,1970,পডজল,97,নিম্ন
পেয়ারা,7.1,7.0,25,32,1210,1540,যেকোনো,149,মধ্যম
লিচু,6.0,6.6,22,33,1010,2421,পডজল,168,নিম্ন
কাঁঠাল,6.4,8.2,22,27,920,1957,দোআঁশ,111,উচ্চ
নারিকেল,5.4,7.5,15,33,947,2705,বেলে,139,মধ্যম
