Soil_Type,Fertility_Index,Location,Season,Average_Rainfall(mm),Temperature(°C),Land_Use_Type,Market_Price,Soil_pH,Sunlight_Exposure(hours),Irrigation_Availability,Pest_and_Disease_History,Previous_Crop
Peaty,51,Sylhet,Autumn,361.38,25.38,Agricultural,133,5.78,8.1,Yes,Moderate,None
Silt,83,Barishal,Summer,54.31,37.21,Unused,218,6.6,11.53,Yes,High,Vegetables
Clay,75,Khulna,Summer,179.52,35.61,Residential,32,7.25,4.38,Yes,Moderate,Tea
Silt,87,Chattogram,Autumn,59.6,30.75,Agricultural,290,5.59,6.82,Yes,High,Maize
Silt,43,Khulna,Autumn,187.54,36.45,Agricultural,108,7.45,10.85,No,Moderate,Rice
Sandy,44,Rangpur,Winter,234.03,34.59,Agricultural,234,4.71,7.17,No,High,Vegetables
Clay,95,Dhaka,Autumn,229.09,25.72,Barren,463,4.7,5.59,Yes,Low,Maize
Clay,76,Rangpur,Winter,107.97,20.03,Barren,297,6.05,7.4,Yes,Moderate,Vegetables
Clay,47,Rajshahi,Monsoon,276.01,27.86,Barren,466,5.91,7.08,No,Moderate,None
Silt,81,Sylhet,Winter,65.67,33.41,Residential,493,5.76,11.32,Yes,Moderate,Maize
Peaty,88,Rajshahi,Autumn,316.67,25.91,Residential,500,6.46,10.1,Yes,None,None
Clay,67,Chattogram,Autumn,381.33,31.67,Agricultural,222,5.78,8.04,Yes,Moderate,Maize
Silt,70,Barishal,Monsoon,168.92,17.36,Residential,93,5.27,11.91,Yes,None,Vegetables
Sandy,97,Khulna,Autumn,231.03,33.7,Unused,44,5.74,7.72,No,None,Wheat
Peaty,48,Rangpur,Autumn,182.62,35.32,Agricultural,120,8.4,4.47,No,High,Vegetables
Sandy,93,Rangpur,Summer,52.35,32.67,Agricultural,195,6.14,6.1,Yes,None,None
Peaty,90,Chattogram,Summer,185.06,39.18,Unused,446,6.28,7.49,No,None,Vegetables
Silt,68,Rangpur,Monsoon,327.1,35.67,Agricultural,136,6.81,5.26,Yes,Low,Maize
Loamy,53,Chattogram,Winter,258.6,37.58,Residential,185,8.43,11.58,Yes,Moderate,Rice
Peaty,79,Rajshahi,Summer,85.44,38.34,Barren,60,5.47,10.13,Yes,None,Maize
Sandy,80,Khulna,Winter,346.5,35.03,Unused,448,7.23,6.15,No,Moderate,Jute
Silt,61,Sylhet,Autumn,235.88,31.86,Residential,363,7.36,8.73,No,None,Vegetables
Peaty,50,Barishal,Summer,344.6,15.14,Unused,443,6.93,9.77,No,High,Tea
Loamy,62,Sylhet,Monsoon,253.08,26.65,Unused,385,4.85,11.53,No,Low,Vegetables
Loamy,40,Rajshahi,Monsoon,245.89,29.28,Agricultural,139,7.21,11.05,No,None,Wheat
Clay,85,Barishal,Monsoon,86.84,22.6,Agricultural,116,4.76,8.12,Yes,Moderate,None
Clay,76,Rangpur,Summer,108.58,22.95,Residential,164,6.88,10.2,Yes,High,Tea
Sandy,60,Dhaka,Winter,390.21,39.03,Unused,235,7.46,8.5,No,Moderate,Maize
Peaty,65,Rajshahi,Autumn,129.97,37.29,Agricultural,248,5.34,8.42,No,High,Wheat
Peaty,85,Rajshahi,Winter,392.11,36.23,Agricultural,332,7.87,4.92,No,Low,Vegetables
Clay,75,Khulna,Winter,236.17,25.15,Unused,149,4.62,5.01,Yes,High,Maize
Peaty,93,Sylhet,Autumn,97.53,15.34,Residential,371,7.88,8.24,No,Moderate,Maize
Peaty,62,Rajshahi,Autumn,84.76,17.01,Residential,396,6.34,6.15,Yes,Moderate,Jute
Loamy,96,Rajshahi,Summer,123.1,22.8,Unused,337,5.37,4.17,Yes,None,Jute
Clay,40,Rangpur,Summer,373.97,15.39,Residential,491,5.04,9.78,No,High,Rice
Silt,93,Rangpur,Summer,194.95,15.43,Agricultural,156,8.31,4.26,Yes,Moderate,Jute
Clay,94,Barishal,Summer,188.4,37.92,Unused,343,4.79,8.76,Yes,None,None
Silt,90,Chattogram,Summer,159.62,32.65,Agricultural,356,5.3,8.31,No,Low,Tea
Loamy,79,Chattogram,Autumn,101.47,22.72,Barren,292,5.89,11.75,Yes,Moderate,Maize
Sandy,54,Dhaka,Winter,220.75,18.32,Barren,136,6.98,7.87,No,None,Jute
Peaty,60,Chattogram,Summer,95.52,27.79,Residential,325,6.68,4.51,Yes,Moderate,Rice
Loamy,86,Khulna,Summer,342.42,15.13,Barren,387,5.0,8.41,No,High,Vegetables
Peaty,48,Dhaka,Winter,179.64,38.46,Agricultural,113,5.66,10.73,No,None,Tea
Sandy,92,Barishal,Summer,181.18,25.37,Barren,187,5.46,11.97,Yes,High,Jute
Sandy,48,Rangpur,Winter,215.9,25.06,Agricultural,461,5.35,7.44,No,Low,Maize
Loamy,49,Chattogram,Winter,205.44,24.76,Residential,222,6.14,6.56,Yes,High,Vegetables
Sandy,91,Sylhet,Autumn,398.2,16.73,Residential,360,7.32,11.25,Yes,None,None
Silt,96,Rangpur,Monsoon,240.88,30.96,Agricultural,168,5.37,5.53,No,Moderate,Maize
Sandy,92,Khulna,Autumn,80.87,33.33,Barren,421,5.97,8.92,Yes,None,Vegetables
Peaty,65,Rangpur,Monsoon,262.41,31.9,Residential,202,6.06,7.25,No,High,None
